id,ticker,symbol
17012,CMS,CMS
17506,CMU,CMU
16239,CNA,CNA
11808,CNFRL,CNFRL
17739,CNHI,CNHI
17697,CNI,CNI
16903,CNK,CNK
16180,CNO,CNO
16325,CNP,CNP
17150,CNQ,CNQ
16453,CNR,CNR
16704,CNS,CNS
16425,CODI,CODI
16651,COF,COF
16725,COG,COG
17364,COLD,COLD
17208,COP,COP
17745,COR,COR
17399,COTY,COTY
11858,COWNL,COWNL
16821,CP,CP
17942,CPA,CPA
11861,CPAA,CPAA
11862,CPAAU,CPAAU
11863,CPAAW,CPAAW
11864,CPARU,CPARU
17818,CPE,CPE
17449,CPF,CPF
17293,CPG,CPG
17151,CPK,CPK
16614,CPLG,CPLG
11868,CPLP,CPLP
17828,CPRI,CPRI
17501,CPS,CPS
17885,CPSI,CPSI
16842,CPT,CPT
16196,CR,CR
11876,CRACU,CRACU
16456,CRC,CRC
16646,CRD.A,CRD.A
16293,CRD.B,CRD.B
17718,CRH,CRH
17661,CRI,CRI
16569,CRK,CRK
16242,CRL,CRL
17186,CRM,CRM
17766,CRS,CRS
16280,CRT,CRT
16992,CRY,CRY
17455,CS,CS
17006,CSL,CSL
11928,CSLMF,CSLMF
11929,CSNR,CSNR
11932,CSRE,CSRE
17097,CSV,CSV
11935,CSW,CSW
17075,CTA,CTA
11941,CTCXW,CTCXW
16718,CTL,CTL
16951,CTLT,CTLT
16279,CTO,CTO
16442,CTR,CTR
16741,CTRA,CTRA
11950,CTRMV,CTRMV
16572,CTS,CTS
17780,CTT,CTT
17034,CTVA,CTVA
11956,CUBA,CUBA
16590,CUBE,CUBE
17518,CUK,CUK
17244,CULP,CULP
16584,CURO,CURO
16145,CUZ,CUZ
16681,CVA,CVA
16367,CVE,CVE
17925,CVEO,CVEO
17257,CVG,CVG
17118,CVI,CVI
11970,CVII,CVII
11971,CVIIU,CVIIU
11972,CVIIW,CVIIW
11974,CVLG,CVLG
17400,CVNA,CVNA
17285,CVS,CVS
17673,CVX,CVX
17173,CW,CW
16565,CWEN,CWEN
17904,CWH,CWH
16459,CWK,CWK
17368,CWT,CWT
16431,CX,CX
17630,CXE,CXE
17862,CXH,CXH
16331,CXO,CXO
17230,CXP,CXP
16636,CXW,CXW
16316,CYD,CYD
17753,CYH,CYH
17593,CZZ,CZZ
16843,D,D
16432,DAC,DAC
16593,DAL,DAL
16276,DAN,DAN
16351,DAR,DAR
17629,DAVA,DAVA
16958,DB,DB
17867,DBD,DBD
12017,DBGIW,DBGIW
16362,DBL,DBL
12018,DBTX,DBTX
17420,DCF,DCF
16629,DCI,DCI
17865,DCO,DCO
17496,DCP,DCP
12026,DCPH,DCPH
17136,DCT,DCT
16738,DD,DD
17372,DDD,DDD
16259,DDS,DDS
16789,DE,DE
17485,DEA,DEA
12031,DECAU,DECAU
16981,DELL,DELL
17548,DEO,DEO
12039,DFFN,DFFN
16963,DFIN,DFIN
17564,DFS,DFS
17219,DG,DG
12047,DGHI,DGHI
12052,DGNU,DGNU
16250,DGX,DGX
12062,DHCA,DHCA
17332,DHF,DHF
17328,DHI,DHI
17408,DHR,DHR
17222,DHT,DHT
16358,DHX,DHX
16541,DIAX,DIAX
12067,DICE,DICE
16728,DIN,DIN
17010,DIS,DIS
12069,DISTU,DISTU
16977,DK,DK
17335,DKL,DKL
16497,DKS,DKS
16678,DLB,DLB
12075,DLCAU,DLCAU
17534,DLNG,DLNG
17839,DLR,DLR
16304,DM,DM
16288,DMO,DMO
12090,DMX,DMX
12092,DNAB,DNAB
12093,DNAD,DNAD
17319,DNB,DNB
16512,DNOW,DNOW
17528,DNZ,DNZ
17134,DO,DO
17947,DOC,DOC
16554,DOOR,DOOR
17793,DOV,DOV
16334,DOW,DOW
16594,DPG,DPG
17439,DQ,DQ
12107,DRAY,DRAY
16415,DRD,DRD
16355,DRH,DRH
17250,DRI,DRI
17529,DRQ,DRQ
17458,DS,DS
12125,DSKE,DSKE
16446,DSL,DSL
17782,DSM,DSM
17889,DSU,DSU
17320,DSX,DSX
17729,DT,DT
16669,DTE,DTE
17356,DTF,DTF
12139,DUET,DUET
12140,DUETU,DUETU
12141,DUETW,DUETW
17252,DUK,DUK
17538,DUKB,DUKB
16834,DV,DV
16370,DVN,DVN
17195,DWIN,DWIN
16579,DX,DX
17881,DXB,DXB
17677,DY,DY
12183,DYNI,DYNI
17028,E,E
17066,EAF,EAF
16254,EAI,EAI
16941,EARN,EARN
16487,EAT,EAT
17411,EB,EB
16163,EBF,EBF
17246,EBR,EBR
17875,EBS,EBS
12194,EBTC,EBTC
17365,EC,EC
17660,ECC,ECC
16252,ECL,ECL
17163,ECOM,ECOM
17755,ED,ED
17760,EDF,EDF
16683,EDI,EDI
17394,EDN,EDN
17497,EDU,EDU
12212,EDUT,EDUT
17886,EE,EE
16339,EEA,EEA
16961,EEX,EEX
17376,EFC,EFC
16744,EFR,EFR
16321,EFT,EFT
12221,EFTR,EFTR
16203,EFX,EFX
17931,EG,EG
16661,EGP,EGP
16659,EGY,EGY
16676,EHC,EHC
12232,EHLDV,EHLDV
17063,EIC,EIC
17361,EIX,EIX
17291,EL,EL
12241,ELEV,ELEV
12245,ELON,ELON
12257,EMBK,EMBK
12258,EMBKW,EMBKW
17625,EMF,EMF
17318,EMN,EMN
16503,EMR,EMR
16980,ENB,ENB
17382,ENBL,ENBL
12270,ENCP,ENCP
16314,ENIA,ENIA
16962,ENIC,ENIC
17147,ENJ,ENJ
17229,ENLC,ENLC
16631,ENO,ENO
16735,ENR,ENR
17011,ENS,ENS
12282,ENTR,ENTR
12284,ENTXW,ENTXW
16330,ENV,ENV
17284,ENVA,ENVA
16328,EOCC,EOCC
16732,EOI,EOI
16892,EOS,EOS
16455,EPAM,EPAM
17306,EPC,EPC
16822,EPD,EPD
17460,EPR,EPR
17726,EPRT,EPRT
16979,EQH,EQH
16549,ES,ES
17690,ESE,ESE
12309,ESEAV,ESEAV
12314,ESGR,ESGR
16383,ESNT,ESNT
16971,ESRT,ESRT
17465,ESS,ESS
12327,ESSA,ESSA
17290,ESTC,ESTC
17791,ET,ET
17519,ETG,ETG
16930,ETH,ETH
17007,ETJ,ETJ
16916,ETN,ETN
17613,ETO,ETO
17484,ETR,ETR
16848,ETRN,ETRN
17111,ETV,ETV
17336,ETW,ETW
16174,ETX,ETX
16344,ETY,ETY
16817,EURN,EURN
16604,EV,EV
16463,EVA,EVA
17650,EVC,EVC
17171,EVF,EVF
16793,EVG,EVG
16524,EVH,EVH
17044,EVN,EVN
16261,EVR,EVR
16754,EVRI,EVRI
17940,EVT,EVT
16262,EVTC,EVTC
12354,EVTR,EVTR
17398,EW,EW
12359,EWEB,EWEB
17601,EXD,EXD
16200,EXG,EXG
16326,EXK,EXK
17498,EXP,EXP
12373,EXPD,EXPD
17531,EXPR,EXPR
16854,EXR,EXR
16881,EXTN,EXTN
17395,F,F
16966,FAF,FAF
17597,FAM,FAM
12397,FARO,FARO
12400,FATAV,FATAV
12403,FATBV,FATBV
12404,FATBW,FATBW
16648,FBC,FBC
17532,FBHS,FBHS
16758,FBP,FBP
17243,FC,FC
17919,FCAU,FCAU
17776,FCF,FCF
16204,FCN,FCN
17854,FCPT,FCPT
16149,FCT,FCT
17932,FCX,FCX
16268,FDP,FDP
17058,FDS,FDS
16806,FDX,FDX
16390,FE,FE
17549,FEDU,FEDU
17167,FENG,FENG
17128,FEO,FEO
16286,FET,FET
17057,FF,FF
17022,FFA,FFA
17090,FFC,FFC
16555,FFG,FFG
12469,FFNW,FFNW
17824,FGB,FGB
16628,FHI,FHI
12484,FHLT,FHLT
12485,FHLTU,FHLTU
12486,FHLTW,FHLTW
17098,FHN,FHN
17540,FI,FI
17608,FICO,FICO
12490,FICV,FICV
12491,FICVU,FICVU
12492,FICVW,FICVW
16300,FIF,FIF
16274,FINS,FINS
16489,FIS,FIS
17779,FIV,FIV
12506,FIVR,FIVR
16540,FIX,FIX
12509,FIXT,FIXT
16627,FL,FL
12514,FLAC,FLAC
12515,FLACW,FLACW
16978,FLC,FLC
12518,FLDD,FLDD
12523,FLJ,FLJ
17013,FLNG,FLNG
17041,FLO,FLO
17588,FLR,FLR
16866,FLS,FLS
17670,FLT,FLT
12531,FLXN,FLXN
16850,FLY,FLY
17177,FMC,FMC
12542,FMKT,FMKT
17656,FMN,FMN
16663,FMS,FMS
16895,FMX,FMX
17655,FMY,FMY
17751,FN,FN
16507,FND,FND
16465,FNF,FNF
17703,FOE,FOE
17272,FOR,FOR
17339,FOUR,FOUR
17796,FPF,FPF
16760,FPH,FPH
16309,FPI,FPI
16243,FR,FR
17610,FRA,FRA
12577,FRBN,FRBN
12578,FRBNU,FRBNU
12579,FRBNW,FRBNW
17403,FRC,FRC
12582,FREQ,FREQ
12583,FRES,FRES
12584,FRGAP,FRGAP
12587,FRLA,FRLA
12588,FRLAU,FRLAU
12589,FRLAW,FRLAW
16707,FRO,FRO
12595,FRRSF,FRRSF
16606,FRT,FRT
16781,FSB,FSB
16919,FSD,FSD
17525,FSK,FSK
16508,FSLY,FSLY
17509,FSM,FSM
16201,FSS,FSS
12613,FTAA,FTAA
12614,FTAAW,FTAAW
17110,FTCH,FTCH
17543,FTI,FTI
16694,FTK,FTK
