ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,change_percent,last_updated,created_at,week_52_low,week_52_high,dividend_yield,avg_volume_3mon,dvav
ASPN,ASPN,ASPN,ASPN,NASDAQ,7.835000038146973,7.820000171661377,8.170000076293945,7.82 - 8.17,1120495,1120495,-5.716009115335714,2025-10-17 17:48:29.296138+00:00,2025-10-17 17:48:29.296139+00:00,,,,,
ASPS,ASPS,ASPS,ASPS,NASDAQ,11.829999923706055,11.70009994506836,12.199999809265137,11.70 - 12.20,9362,9362,-1.8257283281867895,2025-10-17 17:48:29.297001+00:00,2025-10-17 17:48:29.297002+00:00,,,,,
ASPSZ,ASPSZ,ASPSZ,ASPSZ,NASDAQ,0.6399999856948853,0.41999998688697815,0.6650000214576721,0.42 - 0.67,30255,30255,,2025-10-17 17:48:29.297813+00:00,2025-10-17 17:48:29.297815+00:00,,,,,
ASRV,ASRV,ASRV,ASRV,NASDAQ,3.069999933242798,2.9600000381469727,3.309999942779541,2.96 - 3.31,26866,26866,0.6557370898096224,2025-10-17 17:48:29.299882+00:00,2025-10-17 17:48:29.299884+00:00,,,,,
ASST,ASST,ASST,ASST,NASDAQ,0.8289999961853027,0.800000011920929,0.8999999761581421,0.80 - 0.90,26181103,26181103,-7.888886872632951,2025-10-17 17:48:29.300917+00:00,2025-10-17 17:48:29.300918+00:00,,,,,
ASTC,ASTC,ASTC,ASTC,NASDAQ,3.9700000286102295,3.9000000953674316,4.050000190734863,3.90 - 4.05,13072,13072,-2.216746685658723,2025-10-17 17:48:29.301795+00:00,2025-10-17 17:48:29.301796+00:00,,,,,
ASTE,ASTE,ASTE,ASTE,NASDAQ,46.41999816894531,46.41999816894531,47.56999969482422,46.42 - 47.57,52766,52766,-2.826046212856911,2025-10-17 17:48:29.302634+00:00,2025-10-17 17:48:29.302635+00:00,,,,,
ASTH,ASTH,ASTH,ASTH,NASDAQ,31.739999771118164,31.239999771118164,32.040000915527344,31.24 - 32.04,197514,197514,-0.15728575957592184,2025-10-17 17:48:29.303650+00:00,2025-10-17 17:48:29.303652+00:00,,,,,
ASTI,ASTI,ASTI,ASTI,NASDAQ,2.130000114440918,2.119999885559082,2.2799999713897705,2.12 - 2.28,82484,82484,-5.752206927916463,2025-10-17 17:48:29.308151+00:00,2025-10-17 17:48:29.308152+00:00,,,,,
ASTL,ASTL,ASTL,ASTL,NASDAQ,3.7850000858306885,3.7121999263763428,3.9100000858306885,3.71 - 3.91,1023683,1023683,-2.8241308250188806,2025-10-17 17:48:29.309562+00:00,2025-10-17 17:48:29.309563+00:00,,,,,
