ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,change_percent,last_updated,created_at,dividend_yield
APVO,APVO,APVO,APVO,NASDAQ,1.4199999570846558,1.409999966621399,1.4709999561309814,1.41 - 1.47,731800,731800,-2.7397315080268676,2025-10-30 12:46:52.922888+00:00,2025-10-30 12:46:52.922891+00:00,0.0
APWC,APWC,APWC,APWC,NASDAQ,1.840000033378601,1.7899999618530273,1.8700000047683716,1.79 - 1.87,7300,7300,0.0,2025-10-30 12:46:52.924662+00:00,2025-10-30 12:46:52.924665+00:00,0.0
APYX,APYX,APYX,APYX,NASDAQ,2.950000047683716,2.940000057220459,3.0999999046325684,2.94 - 3.10,78500,78500,-4.838705211722626,2025-10-30 12:46:52.930473+00:00,2025-10-30 12:46:52.930477+00:00,0.0
AQB,AQB,AQB,AQB,NASDAQ,1.3200000524520874,1.2999999523162842,1.4570000171661377,1.30 - 1.46,42800,42800,-9.589039865544988,2025-10-30 12:46:52.932044+00:00,2025-10-30 12:46:52.932047+00:00,0.0
AQMS,AQMS,AQMS,AQMS,NASDAQ,6.940000057220459,6.539999961853027,7.619999885559082,6.54 - 7.62,438000,438000,-4.9315085494287425,2025-10-30 12:46:52.938130+00:00,2025-10-30 12:46:52.938134+00:00,0.0
AQST,AQST,AQST,AQST,NASDAQ,6.480000019073486,6.389999866485596,6.715000152587891,6.39 - 6.72,2995700,2995700,-3.5714252769540553,2025-10-30 12:46:52.939782+00:00,2025-10-30 12:46:52.939784+00:00,0.0
ARAI,ARAI,ARAI,ARAI,NASDAQ,5.045000076293945,4.78000020980835,5.199999809265137,4.78 - 5.20,154500,154500,4.235535480230174,2025-10-30 12:46:52.943484+00:00,2025-10-30 12:46:52.943487+00:00,0.0
ARAY,ARAY,ARAY,ARAY,NASDAQ,1.440000057220459,1.4199999570846558,1.5099999904632568,1.42 - 1.51,732700,732700,-2.7027000903735274,2025-10-30 12:46:52.945025+00:00,2025-10-30 12:46:52.945028+00:00,0.0
ARBB,ARBB,ARBB,ARBB,NASDAQ,6.0,5.340000152587891,6.5,5.34 - 6.50,208200,208200,6.194688473006249,2025-10-30 12:46:52.950825+00:00,2025-10-30 12:46:52.950829+00:00,0.0
ARBE,ARBE,ARBE,ARBE,NASDAQ,1.9299999475479126,1.899999976158142,2.0,1.90 - 2.00,1666500,1666500,0.0,2025-10-30 12:46:52.952430+00:00,2025-10-30 12:46:52.952433+00:00,0.0
