ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,avg_volume_3mon,dvav,market_cap,shares_available,pe_ratio,dividend_yield,one_year_target,week_52_low,week_52_high,earnings_per_share,book_value,price_to_book,bid_price,ask_price,bid_ask_spread,price_change_today,price_change_week,price_change_month,price_change_year,change_percent,market_cap_change_3mon,pe_change_3mon,last_updated,created_at
BOND,BOND,BOND,BOND,NASDAQ,93.99299621582031,93.8843002319336,94.06999969482422,93.88 - 94.07,257610,257610,,,,,,,,,,,,,,,,,,,,-0.07123255848661879,,,2025-10-17 17:07:08.589127+00:00,2025-10-17 17:07:08.589131+00:00
BOOM,BOOM,BOOM,BOOM,NASDAQ,7.327000141143799,7.25,7.710000038146973,7.25 - 7.71,39279,39279,,,,,,,,,,,,,,,,,,,,-2.9536429663236765,,,2025-10-17 17:07:08.589773+00:00,2025-10-17 17:07:08.589777+00:00
BOTZ,BOTZ,BOTZ,BOTZ,NASDAQ,35.904998779296875,35.7400016784668,36.290000915527344,35.74 - 36.29,295044,295044,,,,,,,,,,,,,,,,,,,,-1.603186824502503,,,2025-10-17 17:07:08.597012+00:00,2025-10-17 17:07:08.597017+00:00
BOXL,BOXL,BOXL,BOXL,NASDAQ,1.7799999713897705,1.7300000190734863,1.840000033378601,1.73 - 1.84,111213,111213,,,,,,,,,,,,,,,,,,,,-2.732244281585885,,,2025-10-17 17:07:08.602893+00:00,2025-10-17 17:07:08.602896+00:00
ALIT,ALIT,ALIT,ALIT,NASDAQ,2.9549999237060547,2.9100000858306885,2.990000009536743,2.91 - 2.99,2362089,2362089,,,,,,,,,,,,,,,,,,,,-0.8389293693764618,,,2025-10-17 17:07:08.530938+00:00,2025-10-17 17:07:08.530943+00:00
ALL,ALL,ALL,ALL,NASDAQ,195.125,194.27999877929688,196.44000244140625,194.28 - 196.44,399086,399086,,,,,,,,,,,,,,,,,,,,0.12571588210643944,,,2025-10-17 17:07:08.531434+00:00,2025-10-17 17:07:08.531437+00:00
ALLR,ALLR,ALLR,ALLR,NASDAQ,1.4500999450683594,1.399999976158142,1.4700000286102295,1.40 - 1.47,212615,212615,,,,,,,,,,,,,,,,,,,,0.3529337322595753,,,2025-10-17 17:07:08.531881+00:00,2025-10-17 17:07:08.531884+00:00
ALMS,ALMS,ALMS,ALMS,NASDAQ,4.414999961853027,4.404399871826172,4.619999885559082,4.40 - 4.62,765116,765116,,,,,,,,,,,,,,,,,,,,-4.229938525245113,,,2025-10-17 17:07:08.534789+00:00,2025-10-17 17:07:08.534793+00:00
ALTO,ALTO,ALTO,ALTO,NASDAQ,1.1100000143051147,1.0800000429153442,1.1549999713897705,1.08 - 1.15,230810,230810,,,,,,,,,,,,,,,,,,,,-2.6315764707211,,,2025-10-17 17:07:08.536114+00:00,2025-10-17 17:07:08.536118+00:00
ALXO,ALXO,ALXO,ALXO,NASDAQ,1.5399999618530273,1.5,1.6299999952316284,1.50 - 1.63,266659,266659,,,,,,,,,,,,,,,,,,,,-6.6666676299740715,,,2025-10-17 17:07:08.541646+00:00,2025-10-17 17:07:08.541650+00:00
