ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,change_percent,last_updated,created_at,avg_volume_3mon,dvav,week_52_low,week_52_high,dividend_yield
ANGH,ANGH,ANGH,ANGH,NASDAQ,2.799999952316284,2.799999952316284,2.828000068664551,2.80 - 2.83,1991,1991,1.8181800842285156,2025-10-17 17:42:16.141956+00:00,2025-10-17 17:42:16.141958+00:00,100047.0,0.019900646696052855,2.5299999713897705,9.399999618530273,0.0
ANIP,ANIP,ANIP,ANIP,NASDAQ,94.77999877929688,90.69999694824219,95.37899780273438,90.70 - 95.38,119556,119556,3.077761745492683,2025-10-17 17:42:16.142770+00:00,2025-10-17 17:42:16.142771+00:00,458815.0,0.26057561326460554,52.5,99.5,0.0
ACI,ACI,ACI,ACI,NASDAQ,19.645000457763672,19.33009910583496,19.825000762939453,19.33 - 19.83,4057971,4057971,2.1580911357581956,2025-10-17 17:42:15.568312+00:00,2025-10-17 17:42:15.568314+00:00,,,16.700000762939453,23.200000762939453,2.901501586754797
ACIC,ACIC,ACIC,ACIC,NASDAQ,11.774999618530273,11.5600004196167,11.880000114440918,11.56 - 11.88,103546,103546,1.0729614085238022,2025-10-17 17:42:15.568782+00:00,2025-10-17 17:42:15.568783+00:00,,,,,
ACIO,ACIO,ACIO,ACIO,NASDAQ,43.36000061035156,43.26599884033203,43.439998626708984,43.27 - 43.44,29638,29638,0.05306968377809672,2025-10-17 17:42:15.569235+00:00,2025-10-17 17:42:15.569236+00:00,,,,,
ACLC,ACLC,ACLC,ACLC,NASDAQ,76.47000122070312,76.47000122070312,76.64920043945312,76.47 - 76.65,6276,6276,0.2622323147235917,2025-10-17 17:42:15.569660+00:00,2025-10-17 17:42:15.569661+00:00,,,58.0099983215332,78.0,0.6800052199544332
ACLO,ACLO,ACLO,ACLO,NASDAQ,50.380001068115234,50.38999938964844,50.38999938964844,50.39 - 50.39,518,518,0.0,2025-10-17 17:42:15.570066+00:00,2025-10-17 17:42:15.570067+00:00,,,49.58700180053711,50.4900016784668,4.138546954735112
ACLX,ACLX,ACLX,ACLX,NASDAQ,87.22000122070312,86.04000091552734,90.27999877929688,86.04 - 90.28,257243,257243,-1.8345495570185408,2025-10-17 17:42:15.570632+00:00,2025-10-17 17:42:15.570633+00:00,,,,,
ACM,ACM,ACM,ACM,NASDAQ,130.52000427246094,129.86000061035156,132.02999877929688,129.86 - 132.03,200920,200920,-0.36640895231989506,2025-10-17 17:42:15.571047+00:00,2025-10-17 17:42:15.571048+00:00,,,85.0,133.85000610351562,0.7968127229209988
ACN,ACN,ACN,ACN,NASDAQ,237.02499389648438,233.60000610351562,237.4149932861328,233.60 - 237.41,1935525,1935525,1.284073826665193,2025-10-17 17:42:15.571455+00:00,2025-10-17 17:42:15.571456+00:00,,,,,
ACNB,ACNB,ACNB,ACNB,NASDAQ,43.38999938964844,43.0,43.46500015258789,43.00 - 43.47,8583,8583,1.0009318303994086,2025-10-17 17:42:15.571850+00:00,2025-10-17 17:42:15.571851+00:00,,,,,
ACNT,ACNT,ACNT,ACNT,NASDAQ,12.050000190734863,11.970000267028809,12.325699806213379,11.97 - 12.33,20751,20751,-0.08292063460934583,2025-10-17 17:42:15.572306+00:00,2025-10-17 17:42:15.572307+00:00,,,,,
ACON,ACON,ACON,ACON,NASDAQ,8.119999885559082,8.039999961853027,8.369999885559082,8.04 - 8.37,26829,26829,-6.666665935881734,2025-10-17 17:42:15.572859+00:00,2025-10-17 17:42:15.572860+00:00,,,6.199999809265137,3500.4150390625,0.0
ACP,ACP,ACP,ACP,NASDAQ,5.545000076293945,5.539999961853027,5.619999885559082,5.54 - 5.62,346426,346426,-1.1586462686898276,2025-10-17 17:42:15.573265+00:00,2025-10-17 17:42:15.573265+00:00,,,,,
ACRS,ACRS,ACRS,ACRS,NASDAQ,1.9049999713897705,1.8799999952316284,2.069999933242798,1.88 - 2.07,496472,496472,-7.073169965817754,2025-10-17 17:42:15.573807+00:00,2025-10-17 17:42:15.573808+00:00,,,,,
ACSI,ACSI,ACSI,ACSI,NASDAQ,65.53379821777344,65.53379821777344,65.53379821777344,65.53 - 65.53,36,36,-0.00030268908987444456,2025-10-17 17:42:15.574531+00:00,2025-10-17 17:42:15.574532+00:00,,,54.130001068115234,66.75800323486328,0.6439425326724757
ACT,ACT,ACT,ACT,NASDAQ,35.404998779296875,35.119998931884766,35.4900016784668,35.12 - 35.49,119726,119726,1.0705110278839896,2025-10-17 17:42:15.575268+00:00,2025-10-17 17:42:15.575270+00:00,,,,,
ACTG,ACTG,ACTG,ACTG,NASDAQ,3.545799970626831,3.4619998931884766,3.609999895095825,3.46 - 3.61,169073,169073,-2.049721471767156,2025-10-17 17:42:15.575750+00:00,2025-10-17 17:42:15.575751+00:00,,,,,
ACTV,ACTV,ACTV,ACTV,NASDAQ,33.36000061035156,33.25,33.36000061035156,33.25 - 33.36,3305,3305,-0.20640833520859703,2025-10-17 17:42:15.576206+00:00,2025-10-17 17:42:15.576206+00:00,,,,,
ACVA,ACVA,ACVA,ACVA,NASDAQ,8.538599967956543,8.4399995803833,8.781700134277344,8.44 - 8.78,922613,922613,-1.5155721704857272,2025-10-17 17:42:15.576878+00:00,2025-10-17 17:42:15.576879+00:00,,,,,
ACVT,ACVT,ACVT,ACVT,NASDAQ,26.917699813842773,26.917699813842773,26.920000076293945,26.92 - 26.92,751,751,-0.001112466540974481,2025-10-17 17:42:15.577557+00:00,2025-10-17 17:42:15.577558+00:00,,,,,
ACWV,ACWV,ACWV,ACWV,NASDAQ,119.7697982788086,119.2699966430664,119.94999694824219,119.27 - 119.95,36664,36664,0.5454965725688815,2025-10-17 17:42:15.578203+00:00,2025-10-17 17:42:15.578204+00:00,,,104.94000244140625,121.05999755859375,2.3478373015658156
ACXP,ACXP,ACXP,ACXP,NASDAQ,6.650000095367432,6.650000095367432,7.110000133514404,6.65 - 7.11,47745,47745,-5.405406871976146,2025-10-17 17:42:15.578830+00:00,2025-10-17 17:42:15.578831+00:00,,,,,
ADAG,ADAG,ADAG,ADAG,NASDAQ,1.842900037765503,1.7822999954223633,1.8499000072479248,1.78 - 1.85,17608,17608,3.533711650940193,2025-10-17 17:42:15.579268+00:00,2025-10-17 17:42:15.579269+00:00,,,,,
ADAP,ADAP,ADAP,ADAP,NASDAQ,0.1914999932050705,0.17499999701976776,0.218299999833107,0.17 - 0.22,26404087,26404087,-1.7948716773083886,2025-10-17 17:42:15.580219+00:00,2025-10-17 17:42:15.580220+00:00,,,0.03999999910593033,0.8799999952316284,0.0
ADBG,ADBG,ADBG,ADBG,NASDAQ,9.569999694824219,9.359999656677246,9.648099899291992,9.36 - 9.65,329647,329647,1.3771199175799058,2025-10-17 17:42:15.580711+00:00,2025-10-17 17:42:15.580712+00:00,,,,,
ADC,ADC,ADC,ADC,NASDAQ,74.93000030517578,74.19999694824219,75.01000213623047,74.20 - 75.01,347829,347829,0.5097213116867991,2025-10-17 17:42:15.581189+00:00,2025-10-17 17:42:15.581190+00:00,,,,,
ADEA,ADEA,ADEA,ADEA,NASDAQ,16.489999771118164,16.010000228881836,16.690000534057617,16.01 - 16.69,258895,258895,-0.7224613776269966,2025-10-17 17:42:15.586729+00:00,2025-10-17 17:42:15.586731+00:00,,,10.59000015258789,18.25,1.2128562933657232
